flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
257,"September 20, 2023 03:38[168]",F9 B5 B1058‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-17 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
258,"September 24, 2023 03:38[169]",F9 B5 B1060‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-18 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
259,"September 25, 2023 08:48[170]",F9 B5 B1075‑6,"Vandenberg, SLC‑4E",Starlink: Group 7-3 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
260,"September 30, 2023 02:00[171]",F9 B5 B1069‑10,"Cape Canaveral, SLC‑40",Starlink: Group 6-19 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
261,"October 5, 2023 05:36[172]",F9 B5 B1076‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-21 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
262,"October 9, 2023 07:23[173]",F9 B5 B1063‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-4 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
FH 8,"October 13, 2023 14:19[174]",Falcon Heavy B5 B1079 (core)[175],"Kennedy, LC‑39A",Psyche[176],"~2,608 kg (5,750 lb)",Heliocentric,NASA (Discovery),Success,No attempt,28.6080585,-80.6039558
263,"October 13, 2023 23:01[179]",F9 B5 B1067‑14,"Cape Canaveral, SLC‑40",Starlink: Group 6-22 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
264,"October 18, 2023 00:39[180]",F9 B5 B1062‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-23 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
265,"October 21, 2023 08:23[181]",F9 B5 B1061‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-5 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
266,"October 22, 2023 02:17[182]",F9 B5 B1080‑4,"Cape Canaveral, SLC‑40",Starlink: Group 6-24 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
267,"October 29, 2023 09:00[183]",F9 B5 B1075‑7,"Vandenberg, SLC‑4E",Starlink: Group 7-6 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
268,"October 30, 2023 23:20[184]",F9 B5 B1077‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-25 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
269,"November 4, 2023 00:37[185]",F9 B5 B1058‑18,"Cape Canaveral, SLC‑40",Starlink: Group 6-26 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
270,"November 8, 2023 05:05[186]",F9 B5 B1073‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-27 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
271,"November 10, 2023 01:28[187]",F9 B5 B1081‑2,"Kennedy, LC‑39A",SpaceX CRS-29 (Dragon C211.2),"~9,525 kg (20,999 lb)",LEO (ISS),NASA (CRS),Success,Success (LZ‑1),28.6080585,-80.6039558
272,"November 11, 2023 18:49[189]",F9 B5 B1071‑12,"Vandenberg, SLC‑4E",Transporter-9 (113 payload smallsat rideshare),Unknown[j],SSO,Various,Success,Success (LZ‑4),34.6328344,-120.6107465
273,"November 12, 2023 21:08[191]",F9 B5 B1076‑9,"Cape Canaveral, SLC‑40",O3b mPOWER 5 & 6,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success (ASOG),28.5618571,-80.577366
274,"November 18, 2023 05:05[192]",F9 B5 B1069‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-28 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
275,"November 20, 2023 10:30[193]",F9 B5 B1063‑15,"Vandenberg, SLC‑4E",Starlink: Group 7-7 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
276,"November 22, 2023 07:47[194]",F9 B5 B1067‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-29 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
277,"November 28, 2023 04:20[195]",F9 B5 B1062‑17,"Cape Canaveral, SLC‑40",Starlink: Group 6-30 (23 satellites),"~16,800 kg (37,000 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
